pays,code ISO3,PIB,%pop_acces_electricite,perf_logistique,Stab_po,DA(kg/personne/an),TAS,TDI,%variation_population
Afghanistan,AFG,530.15,97.7,2.08,-2.79,1.53,49.12,50.88,5.47
Afrique du Sud,ZAF,6723.93,84.4,3.75,-0.28,35.69,78.71,24.27,2.93
Albanie,ALB,4521.75,99.89,2.8958139534883722,0.37,16.36,27.66,80.85,-0.22
Algérie,DZA,4134.94,99.53,2.67,-0.92,6.38,99.28,0.72,4.18
Allemagne,DEU,44670.22,100.0,4.26,0.57,19.47,87.06,48.42,1.06
Angola,AGO,4042.68,42.91,1.99,-0.39,10.56,13.17,86.83,6.93
Antigua-et-Barbuda,ATG,16110.56,100.0,2.8958139534883722,0.73,54.1,0.0,100.0,1.99
Arabie saoudite,SAU,20138.15,99.97,3.09,-0.65,43.36,42.93,50.31,4.36
Argentine,ARG,14609.78,100.0,2.91,0.16,42.24,110.14,0.41,2.0
Arménie,ARM,4042.0,99.7,2.17,-0.63,16.06,23.4,74.47,0.66
Australie,AUS,57430.8,100.0,3.76,0.88,47.65,108.37,1.37,2.72
Autriche,AUT,47429.54,100.0,4.29,1.03,18.2,85.55,63.58,1.63
Azerbaïdjan,AZE,4057.62,100.0,2.8958139534883722,-0.75,13.11,80.62,20.93,2.31
Bahamas,BHS,30969.88,100.0,2.56,0.98,43.17,23.08,92.31,2.02
Bangladesh,BGD,1785.96,88.0,2.67,-1.25,1.5,99.6,0.0,2.19
Barbade,BRB,17843.2,100.0,2.8958139534883722,0.95,46.78,88.24,11.76,0.32
Belgique,BEL,44162.26,100.0,4.11,0.42,12.65,304.61,222.37,1.17
Belize,BLZ,6101.59,94.15,2.8958139534883722,0.03,25.69,105.26,0.0,4.11
Bolivie (État plurinational de),BOL,3280.01,91.8,2.19,-0.28,36.0,124.24,0.23,2.97
Bosnie-Herzégovine,BIH,5255.95,100.0,2.63,-0.35,16.7,110.91,18.18,-2.27
Botswana,BWA,6705.34,67.4,2.8958139534883722,1.01,3.39,71.43,42.86,3.98
Brésil,BRA,9896.72,99.8,3.11,-0.48,48.03,142.27,0.03,1.64
Bulgarie,BGR,8242.46,98.06,2.74,0.32,22.06,68.15,68.79,-1.35
Burkina Faso,BFA,711.18,17.01,2.72,-0.93,2.27,100.0,0.0,5.98
Bélarus,BLR,5637.22,98.74,2.37,-0.06,27.98,174.72,7.92,0.11
Bénin,BEN,1095.27,34.5,2.52,0.03,14.4,11.18,76.4,5.67
Cabo Verde,CPV,3132.62,88.61,2.8958139534883722,0.76,17.62,10.0,120.0,2.43
Cambodge,KHM,1400.9,89.07,2.72,0.09,2.34,73.68,26.32,3.14
Cameroun,CMR,1479.86,60.9,2.3,-1.09,3.16,98.78,0.0,5.44
Canada,CAN,45125.11,100.0,3.87,1.09,39.02,98.88,12.7,1.96
Chili,CHL,15081.99,99.7,3.28,0.41,36.36,105.95,23.07,2.79
Chypre,CYP,18987.26,100.0,3.07,0.53,25.08,65.79,36.84,1.61
Colombie,COL,6450.32,98.5,2.76,-0.78,31.99,95.19,4.75,2.92
Congo,COG,2088.5,46.21,2.58,-0.53,21.53,6.36,94.55,5.24
Costa Rica,CRI,12118.13,99.6,2.69,0.6,26.52,99.25,12.69,2.11
Croatie,HRV,13434.53,100.0,3.18,0.68,10.77,135.56,53.33,-1.18
Cuba,CUB,8543.36,99.4,2.36,0.64,23.72,8.48,91.23,0.13
Côte d'Ivoire,CIV,2076.15,65.6,2.76,-1.09,2.53,89.23,10.77,5.22
Danemark,DNK,57888.2,100.0,3.92,0.85,28.98,103.59,79.64,0.77
Djibouti,DJI,2659.85,60.2,2.56,-0.73,2.68,78.67706249999999,100.0,3.29
Dominique,DMA,7395.99,98.89,2.8958139534883722,1.17,35.19,0.0,100.0,0.39
El Salvador,SLV,3986.05,96.8,2.52,-0.26,20.43,103.82,12.21,1.0
Espagne,ESP,28190.81,100.0,3.78,0.27,30.39,101.2,13.69,-0.05
Estonie,EST,20435.21,100.0,3.35,0.64,21.26,68.97,72.41,0.31
Eswatini,SWZ,3822.79,73.5,2.8958139534883722,-0.27,6.46,85.71,28.57,1.88
Fidji,FJI,5825.22,96.0,2.22,0.59,28.02,88.46,11.54,1.02
Finlande,FIN,46412.76,100.0,4.09,1.06,18.76,116.22,14.41,0.55
France,FRA,40458.15,100.0,3.9,0.27,22.9,111.25,32.17,0.6
Fédération de Russie,RUS,10822.77,100.0,2.6,-0.64,30.98,97.54,4.96,0.38
Gabon,GAB,6975.77,86.27,2.17,-0.11,29.33,5.13,97.44,6.01
Gambie,GMB,632.02,56.2,2.8958139534883722,-0.09,3.53,25.0,200.0,6.14
Ghana,GHA,1998.63,79.0,2.63,0.08,7.24,28.44,71.56,4.57
Grenade,GRD,9309.27,92.2,2.8958139534883722,0.99,45.7,12.5,87.5,1.16
Grèce,GRC,18690.62,100.0,3.24,-0.08,15.32,138.2,44.38,-0.85
Guatemala,GTM,4322.03,93.3,2.28,-0.65,20.58,65.83,36.13,4.08
Guinée,GIN,843.46,35.4,2.23,-0.7,4.08,26.0,74.0,5.56
Guinée-Bissau,GNB,718.25,26.0,2.35,-0.5,2.16,75.0,100.0,5.24
Guyana,GUY,6220.98,89.99,2.62,-0.05,38.34,96.88,0.0,1.02
Géorgie,GEO,4306.23,100.0,2.32,-0.38,15.27,36.07,83.61,-0.38
Haïti,HTI,1402.61,43.29,1.64,-0.68,8.91,9.18,90.82,2.68
Honduras,HND,2403.31,86.5,2.46,-0.57,21.73,94.15,5.85,3.47
Hongrie,HUN,14619.78,100.0,3.41,0.8,25.27,185.34,21.8,-0.49
Inde,IND,1937.92,91.79,3.47,-0.77,2.22,96.83,0.0,2.18
Indonésie,IDN,3839.79,98.14,3.02,-0.5,7.19,99.05,0.04,2.43
Iran (République islamique d'),IRN,5960.71,99.94,2.8958139534883722,-0.93,27.52,97.93,0.27,2.78
Iraq,IRQ,4725.19,99.88,2.09,-2.3,14.95,16.96,83.04,5.57
Irlande,IRL,70491.99,100.0,3.62,0.99,25.82,85.94,77.34,2.17
Islande,ISL,71961.53,100.0,3.26,1.34,29.95,100.0,20.0,1.26
Israël,ISR,42756.83,100.0,3.69,-0.89,67.39,98.9,0.0,3.33
Italie,ITA,32694.41,100.0,3.78,0.29,18.88,112.11,8.27,0.16
Jamaïque,JAM,5273.15,97.37,2.24,0.3,51.1,84.21,20.39,1.03
Japon,JPN,38928.95,100.0,4.03,1.1,18.5,91.72,44.27,-0.38
Jordanie,JOR,4053.54,100.0,2.86,-0.43,28.07,76.36,23.27,5.6
Kazakhstan,KAZ,9107.7,100.0,2.81,0.02,18.27,51.66,52.57,2.89
Kenya,KEN,1675.97,55.83,3.33,-1.13,0.67,100.0,0.0,4.89
Kirghizistan,KGZ,1258.39,100.0,2.33,-0.36,3.1,21.88,78.12,3.87
Kiribati,KIR,1563.47,85.67,2.8958139534883722,0.86,17.98,50.0,50.0,2.91
Koweït,KWT,29258.29,100.0,3.08,-0.05,46.25,29.63,72.49,5.75
Lesotho,LSO,1061.92,33.7,1.98,-0.19,7.93,11.76,88.24,1.58
Lettonie,LVA,15593.84,100.0,3.03,0.45,20.89,80.49,104.88,-2.33
Liban,LBN,8679.9,99.85,2.71,-1.62,10.74,87.67,17.81,4.39
Libéria,LBR,576.03,24.2,2.01,-0.32,10.67,30.0,96.0,5.14
Lituanie,LTU,16443.3,100.0,3.55,0.77,28.19,143.9,53.66,-2.95
Luxembourg,LUX,110203.01,100.0,4.06,1.31,18.33,0.0,100.0,4.44
Macédoine du Nord,MKD,5353.78,99.99,2.61,-0.26,19.73,4.88,97.56,0.13
Madagascar,MDG,503.5,24.1,2.16,-0.3,2.87,98.78,0.0,5.51
Malaisie,MYS,9979.7,99.98,3.24,0.11,39.21,106.35,4.19,2.75
Malawi,MWI,500.17,12.7,2.8958139534883722,-0.25,5.17,132.65,0.0,5.52
Maldives,MDV,10063.0,99.8,2.47,0.22,13.5,78.67706249999999,100.0,9.12
Mali,MLI,795.68,34.78,2.55,-1.9,2.83,92.31,1.92,6.16
Malte,MLT,28122.29,100.0,2.92,1.24,27.17,28.57,64.29,1.01
Maroc,MAR,3336.53,100.0,2.8958139534883722,-0.38,20.96,102.14,0.4,2.65
Maurice,MUS,10591.7,99.61,2.8958139534883722,0.96,37.93,97.96,4.08,0.4
Mauritanie,MRT,1634.64,42.9,1.92,-0.63,5.14,22.73,109.09,5.84
Mexique,MEX,9434.38,100.0,3.07,-0.81,32.52,77.01,23.04,2.4
Mongolie,MNG,3708.25,93.62,2.51,0.78,2.77,0.0,111.11,3.85
Monténégro,MNE,7679.19,100.0,2.32,-0.06,15.98,40.0,80.0,0.1
Mozambique,MOZ,462.7,24.3,2.8958139534883722,-0.92,3.59,79.31,20.69,5.94
Myanmar,MMR,1304.48,69.81,2.48,-1.08,30.37,99.76,0.18,1.33
Namibie,NAM,5450.33,52.5,2.8958139534883722,0.62,11.53,39.29,103.57,3.79
Nicaragua,NIC,2127.28,84.63,2.8958139534883722,-0.05,21.59,103.62,4.35,2.6
Niger,NER,514.54,17.58,2.4,-1.26,0.94,90.48,14.29,8.0
Nigéria,NGA,1941.87,54.4,2.49,-2.0,1.01,99.5,0.0,5.37
Norvège,NOR,75490.69,100.0,3.6,1.15,19.05,99.02,1.96,1.86
Nouvelle-Zélande,NZL,43534.09,100.0,3.51,1.56,34.79,132.74,0.6,1.9
Népal,NPL,1044.69,86.62,2.34,-0.58,1.99,100.0,0.0,2.29
Oman,OMN,17802.55,100.0,3.34,0.75,21.63,6.14,110.53,9.34
Ouganda,UGA,787.33,32.39,2.8958139534883722,-0.57,1.52,98.48,0.0,7.69
Ouzbékistan,UZB,1943.34,99.97,2.5,-0.24,1.96,78.67706249999999,41.8111111111111,3.33
Pakistan,PAK,1558.08,92.66,2.72,-2.4,5.86,99.92,0.16,4.25
Panama,PAN,15185.98,93.7,3.38,0.38,33.82,103.12,10.42,3.48
Paraguay,PRY,6136.06,99.3,2.56,-0.0,5.99,109.76,2.44,2.67
Philippines,PHL,3077.43,93.0,2.8,-1.19,13.87,83.63,16.37,3.0
Pologne,POL,13615.44,100.0,3.45,0.51,30.3,203.37,4.76,-0.21
Portugal,PRT,21475.36,100.0,3.45,1.11,30.58,111.08,25.23,-0.77
Pérou,PER,6676.31,94.8,2.82,-0.26,13.47,96.19,3.94,3.2
Roumanie,ROU,10667.99,100.0,2.92,0.05,19.37,102.89,38.32,-1.36
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,GBR,40617.68,100.0,4.06,0.38,31.94,81.2,34.87,1.32
Rwanda,RWA,756.55,34.1,3.09,0.08,1.49,100.0,0.0,5.38
République centrafricaine,CAF,414.74,14.07,2.8958139534883722,-1.99,2.29,63.64,36.36,2.29
République de Corée,KOR,31524.94,100.0,3.69,0.38,16.7,98.13,16.04,0.54
République de Moldova,MDA,3040.32,99.98,2.52,-0.31,16.14,81.82,24.24,-0.27
République dominicaine,DOM,7513.5,100.0,2.53,0.15,35.26,90.4,11.2,2.25
République démocratique populaire lao,LAO,2439.46,93.6,2.22,0.39,10.91,78.67706249999999,41.8111111111111,3.14
République populaire démocratique de Corée,PRK,680.53,44.19,2.8958139534883722,-0.5,1.62,100.0,0.0,0.98
République-Unie de Tanzanie,TZA,972.63,32.1,2.8958139534883722,-0.57,1.88,97.22,1.85,6.17
Saint-Kitts-et-Nevis,KNA,22160.6,100.0,2.8958139534883722,0.63,55.77,0.0,100.0,1.64
Saint-Vincent-et-les Grenadines,VCT,8030.57,99.97,2.8958139534883722,0.87,72.31,0.0,112.5,0.62
Sainte-Lucie,LCA,11270.81,99.9,2.8958139534883722,0.97,56.69,9.09,90.91,1.02
Samoa,WSM,4246.47,96.8,2.8958139534883722,1.16,64.77,0.0,113.33,0.95
Sao Tomé-et-Principe,STP,1819.87,74.27,2.28,0.18,9.47,50.0,100.0,3.84
Serbie,SRB,5918.26,100.0,2.7,0.08,10.16,94.44,13.33,-0.53
Sierra Leone,SLE,487.01,23.4,2.8958139534883722,-0.04,3.97,56.67,46.67,4.41
Slovaquie,SVK,17584.6,100.0,3.22,0.9,13.9,95.95,85.14,0.23
Slovénie,SVN,23155.4,100.0,3.15,0.87,24.41,138.46,38.46,0.25
Soudan,SDN,3000.82,52.97,2.66,-1.97,1.6,97.1,2.9,4.91
Sri Lanka,LKA,4065.14,97.5,2.8958139534883722,-0.08,7.78,100.0,0.0,1.05
Suisse,CHE,83353.6,100.0,4.02,1.24,15.72,68.42,38.35,1.92
Suriname,SUR,5774.65,96.63,2.8958139534883722,0.12,31.06,40.0,72.0,2.03
Suède,SWE,53788.88,100.0,4.25,0.97,16.6,83.96,44.92,1.43
Sénégal,SEN,1385.2,61.7,2.14,-0.06,4.76,100.0,0.0,5.77
Tadjikistan,TJK,844.37,99.3,1.97,-0.67,4.45,5.0,95.0,5.04
Tchad,TCD,884.87,10.9,2.11,-1.29,0.45,85.71,14.29,6.42
Tchéquie,CZE,20759.91,100.0,3.77,0.99,21.96,65.46,46.59,0.37
Thaïlande,THA,6436.79,99.9,3.25,-0.75,12.95,190.24,0.23,0.72
Timor-Leste,TLS,1299.52,79.54,2.8958139534883722,0.07,4.24,20.0,220.0,3.93
Togo,TGO,813.4,48.0,2.68,-0.87,7.06,74.07,29.63,5.13
Trinité-et-Tobago,TTO,16094.67,100.0,2.8958139534883722,0.27,54.54,80.26,30.26,1.0
Tunisie,TUN,3569.72,100.0,2.51,-1.02,17.03,109.23,0.0,2.27
Turkménistan,TKM,6738.44,100.0,2.26,-0.13,4.52,74.07,33.33,3.46
Turquie,TUR,10464.01,100.0,3.25,-1.79,20.64,130.94,0.18,3.29
Ukraine,UKR,2510.02,100.0,2.66,-1.87,22.62,120.02,11.99,-0.97
Uruguay,URY,18769.79,99.8,2.98,1.04,9.12,100.0,9.09,0.72
Vanuatu,VUT,3032.15,62.8,2.8958139534883722,0.68,11.66,33.33,133.33,5.3
Venezuela (République bolivarienne du),VEN,8112.05,99.2,2.1,-1.25,20.28,95.85,3.99,-2.26
Viet Nam,VNM,2992.07,100.0,3.03,0.21,12.33,76.12,24.13,2.08
Yémen,YEM,612.35,79.2,2.8958139534883722,-2.93,8.53,68.29,31.71,5.05
Zambie,ZMB,1495.44,40.3,2.46,0.14,3.42,81.67,20.0,6.14
Zimbabwe,ZWE,1494.17,43.98,1.97,-0.71,4.68,90.79,7.89,3.05
Égypte,EGY,1917.05,100.0,3.11,-1.43,12.96,89.44,8.8,4.33
Émirats arabes unis,ARE,42522.38,100.0,4.15,0.6,43.47,11.65,105.1,2.42
Équateur,ECU,6246.4,99.2,2.86,-0.08,19.31,99.71,0.0,3.54
États-Unis d'Amérique,USA,59059.6,100.0,3.98,0.26,55.68,119.97,0.67,1.31
Éthiopie,ETH,709.76,44.3,2.8958139534883722,-1.68,0.13,100.0,7.14,5.52
